Cluster,Phase,Day of Date Trap,Cluster.code,ASBs Deployed,Form.Collectionid Check,Form.Sampleid Check,form.DyeFed,form.BloodFed,form.SugarFed,Indoor,Outdoor,Male,Female,An. gambiae,An. funestus
asb33,1,3-Mar-21,33,3,5095993,5149707,0,0,---,0,1,0,1,1,
asb33,1,3-Mar-21,33,3,5107894,5149685,0,0,---,0,1,0,1,1,
asb33,1,3-Mar-21,33,3,5107894,5149720,1,0,---,0,1,0,1,1,
asb33,1,3-Mar-21,33,3,5107894,5149723,1,0,---,0,1,0,1,1,
asb33,1,3-Mar-21,33,3,5107894,5149733,1,0,---,0,1,0,1,1,
asb45,1,3-Mar-21,45,2,5077470,5149195,0,0,---,0,1,0,1,1,
asb45,1,3-Mar-21,45,2,5077470,5157397,0,0,---,0,1,0,1,1,
asb45,1,3-Mar-21,45,2,5077472,5149165,0,0,---,0,1,0,1,1,
asb45,1,3-Mar-21,45,2,5089722,5149113,0,0,---,0,1,0,1,1,
asb77,1,3-Mar-21,77,2,5094975,5149878,1,0,---,0,1,0,1,1,
asb77,1,3-Mar-21,77,2,5097612,5149898,1,0,---,0,1,0,1,1,
asb77,1,3-Mar-21,77,2,5097620,5149817,0,0,---,0,1,0,1,1,
asb77,1,3-Mar-21,77,2,5097620,5149819,0,0,---,0,1,0,1,1,
asb77,1,3-Mar-21,77,2,5097628,5149858,0,0,---,0,1,0,1,1,
asb77,1,3-Mar-21,77,2,5097628,5149870,1,0,---,0,1,0,1,1,
asb84,1,3-Mar-21,84,3,5096566,5150139,0,0,---,0,1,0,1,1,
asb84,1,3-Mar-21,84,3,5107363,5150234,0,1,---,0,1,0,1,1,
asb143,1,3-Mar-21,143,2,5113226,5148805,0,0,---,0,1,0,1,1,
asb158,1,3-Mar-21,158,3,5089325,5149488,0,0,---,0,1,0,1,1,
asb163,1,3-Mar-21,163,2,5113346,5150788,1,0,---,0,1,0,1,1,
asb194,1,3-Mar-21,194,3,5097310,5149580,0,0,---,0,1,0,1,1,
asb194,1,3-Mar-21,194,3,5097316,5149412,0,0,---,0,1,0,1,1,
asb194,1,3-Mar-21,194,3,5097316,5149415,0,0,---,0,1,0,1,1,
asb194,1,3-Mar-21,194,3,5106068,5156813,0,0,---,0,1,0,1,1,
asb194,1,3-Mar-21,194,3,5106068,5156814,0,0,---,0,1,0,1,1,
asb13,1,4-Mar-21,13,2,5104920,5150255,0,1,---,0,1,0,1,1,
asb13,1,4-Mar-21,13,2,5113901,5149538,0,0,---,0,1,0,1,1,
asb13,1,4-Mar-21,13,2,5113901,5149542,0,0,---,0,1,0,1,1,
asb33,1,4-Mar-21,33,3,5107838,5148532,0,0,---,0,1,0,1,1,
asb33,1,4-Mar-21,33,3,5107838,5148538,0,0,---,0,1,0,1,1,
asb33,1,4-Mar-21,33,3,5107912,5148523,0,0,---,0,1,0,1,1,
asb45,1,4-Mar-21,45,2,5077435,5158881,0,0,---,0,1,0,1,1,
asb45,1,4-Mar-21,45,2,5077454,5148622,0,0,---,0,1,0,1,1,
asb45,1,4-Mar-21,45,2,5077454,5148628,0,0,---,0,1,0,1,1,
asb45,1,4-Mar-21,45,2,5089726,5158639,0,0,---,0,1,0,1,1,
asb45,1,4-Mar-21,45,2,5089726,5158641,0,0,---,0,1,0,1,1,
asb45,1,4-Mar-21,45,2,5089726,5158643,0,0,---,0,1,0,1,1,
asb45,1,4-Mar-21,45,2,5089726,5158647,0,0,---,0,1,0,1,1,
asb77,1,4-Mar-21,77,2,5095028,5156327,0,1,---,0,1,0,1,1,
