Study Sites,Month,Year,Date,Species,Method,Room#/Poste ,# sleeper,Position,NightFrames,NightFrames_2,mosquito ID,Parity,fed/unfed,ELISA,Species
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Inside,02h-04h,,57,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Inside,02h-04h,,58,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Inside,02h-04h,,59,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Inside,02h-04h,,60,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Inside,02h-04h,,61,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Inside,02h-04h,,62,NR,Fed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,20h-22h,,63,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,22h-00h,,64,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,22h-00h,,65,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,22h-00h,,66,P,Unfed,ND,M
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,22h-00h,,67,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,22h-00h,,68,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,00h-02h,,69,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,00h-02h,,70,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,00h-02h,,71,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,00h-02h,,72,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,00h-02h,,73,P,Unfed,ND,M
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,02h-04h,,74,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,02h-04h,,75,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,02h-04h,,76,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,02h-04h,,77,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,02h-04h,,78,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,02h-04h,,79,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,02h-04h,,80,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,02h-04h,,81,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,02h-04h,,82,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,04H-06h,,83,P,Unfed,ND,ND
