year,Month,Date,Vilage,location,Dedication,Intrvention,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,,,,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,,,,Malaise suplementary catch male,Malaise suplementary catch female,,tot f,tot m,,Sample PCR species ident.,An. coluzzi,An. gambiae s.s.,,Sample age grading,>3 gon. Cyc.,< 3 gon. Cyc.,,Sample Anthrone females,Anthrone positive females,,Sample Anthrone males,Anthrone positive males,,Sample ELISA,ELISA positive,,Remarcs,,
16,5,13-17,Tiko,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,0,0,,,,
16,5,15-19,Kignele,periphery,Con.,NO,Malaise,0,0,0,0,1,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,2,0,,2,2,,,ND,ND,ND,,,,,,,,2,0,,,,
16,5,15-19,Trekrouba,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,2,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,2,0,,2,2,,,ND,ND,ND,,,,,,,,2,0,,,,
16,5,19-23,Balandougou,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,0,0,,,,
16,5,21-25,Krekrelo,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,0,0,,,,
16,5,19-23,Korea,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,0,0,,,,
16,5,26-30,Farabale,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,0,0,,,,
16,5,22-26,Cissebougou,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,0,0,,,,
16,5,22-26,Trekrou,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,1,1,,,ND,ND,ND,,,,,,,,1,0,,,,
16,5,26-30,Sirakele,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,0,0,,,,
16,5,24-28,Balala,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,0,0,,,,
16,5,25-29,Sambadani,periphery,Con.,NO,Malaise,1,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,1,1,,,ND,ND,ND,,,,,,,,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,7,7,,,,,,,,,,,,,5,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6,15-19,Madina,periphery,Con.,NO,Malaise,0,1,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,2,0,,2,2,,,ND,ND,ND,,0,,,,,,2,0,,,,
16,6,16-20,Nianguanabougou,periphery,Con.,NO,Malaise,0,0,1,0,0,0,0,0,3,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,4,0,,4,4,,,ND,ND,ND,,4,2,,,,,0,0,,,,
16,6,16-20,Tiko,periphery,Con.,NO,Malaise,0,1,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,2,0,,2,2,,,ND,ND,ND,,0,,,,,,2,0,,,,
16,6,17-21,Kignele,periphery,Con.,NO,Malaise,0,0,0,2,0,1,4,2,0,3,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,12,0,,10,7,,,ND,ND,ND,,12,5,,,,,0,0,,,,
16,6,17-21,Trekrouba,periphery,Con.,NO,Malaise,1,3,1,0,1,0,1,2,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,10,0,,5,4,,,ND,ND,ND,,10,5,,,,,0,0,,,,
16,6,19-23,Balandougou,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,0,,,,,,0,0,,,,
16,6,19-23,Krekrelo,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,0,,,,,,0,0,,,,
16,6,22-26,Korea,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,0,,,,,,0,0,,,,
16,6,22-26,Farabale,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,0,,,,,,0,0,,,,
16,6,23-27,Cissebougou,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,0,0,,,ND,ND,ND,,0,,,,,,1,0,,,,
16,6,23-27,Trekrou,periphery,Con.,NO,Malaise,0,1,0,1,0,0,0,0,1,2,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,5,0,,5,3,,,ND,ND,ND,,5,3,,,,,5,0,,,,
16,6,24-28,Sirakele,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,0,,,,,,0,0,,,,
16,6,25-29,Balala,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,0,,,,,,0,0,,,,
16,6,26-30,Sambadani,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,0,,,,,,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0,,28,22,,,,,,,31,15,,,,,10,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7,18-22,Madina,periphery,Con.,NO,Malaise,3,8,14,5,0,11,38,7,19,6,,,,4,2,7,1,2,5,13,10,8,2,,,,,,,111,54,,2,1,,,ND,ND,ND,,10,3,,10,4,,20,0,,,,
16,7,18-22,Nianguanabougou,periphery,Con.,NO,Malaise,22,19,8,25,7,5,10,29,36,40,,,,9,6,3,12,5,1,3,10,15,9,,,,,,,201,73,,2,2,,,ND,ND,ND,,20,11,,20,14,,20,0,,,,
16,7,20-24,Tiko,periphery,Con.,NO,Malaise,10,4,23,14,16,2,26,13,7,11,,,,2,1,11,5,7,3,8,5,3,12,,,,,,,126,57,,2,1,,,ND,ND,ND,,10,4,,10,7,,20,0,,,,
