year,Month,Date,Vilage,Location,Dedication,Intrvention,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,,,,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,,,,PSC suplementary catch male,PSC suplementary catch female,tot f,tot m,,Sample PCR species ident.,An. coluzzi,An. gambiae s.s.,,Sample Anthrone females,Sample Anthrone males,Anthrone positive females,Anthrone positive males,Sample ELISA,ELISA positive,,Remarcs
2016,5,3,Madina,inside,Con.,NO,PSC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,,,,,,,,
2016,5,4,Nianguanabougou,inside,Con.,NO,PSC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,,,,,,,,
2016,5,5,Tiko,inside,Con.,NO,PSC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,,,,,,,,
2016,5,5,Kignele,inside,Con.,NO,PSC,1,0,0,1,0,0,0,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,3,0,,,,,,,,,,,,,
2016,5,6,Trekrouba,inside,Con.,NO,PSC,0,1,0,0,0,2,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,3,0,,,,,,,,,,,,,
2016,5,6,Balandougou,inside,Con.,NO,PSC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,,,,,,,,
2016,5,7,Krekrelo,inside,Con.,NO,PSC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,,,,,,,,
2016,5,7,Korea,inside,Con.,NO,PSC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,,,,,,,,
2016,5,8,Farabale,inside,Con.,NO,PSC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,,,,,,,,
2016,5,8,Cissebougou,inside,Con.,NO,PSC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,,,,,,,,
2016,5,9,Trekrou,inside,Con.,NO,PSC,0,0,1,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,2,0,,,,,,,,,,,,,
2016,5,9,Sirakele,inside,Con.,NO,PSC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,,,,,,,,
