year,Month,Date,Vilage,Location,Dedication,Intrvention,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,,,,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,,,,CDC suplementary catch male,CDC suplementary catch female,,tot f,tot m,,Sample PCR species ident.,An. coluzzi,An. gambiae s.s.,,Sample age grading,>3 gon. Cyc.,< 3 gon. Cyc.,,Sample Anthrone females,Anthrone positive females,,Sample Anthrone males,Anthrone positive males,,Sample ELISA,ELISA positive,,Remarcs,,,,
16,4,17,Cissebougou,periphery,Con.,NO,CDC,0,0,0,0,1,0,0,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,2,0,,2,2,,,ND,ND,ND,,2,0,,,,,ND,ND,,,,,,
16,4,18,Trekrou,periphery,Con.,NO,CDC,1,0,0,2,0,0,1,1,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,6,0,,6,5,,,ND,ND,ND,,6,2,,,,,ND,ND,,,,,,
16,4,20,Sirakele,periphery,Con.,NO,CDC,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,0,0,,,ND,ND,ND,,0,,,,,,ND,ND,,,,,,
16,4,18,Balala,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,0,,,,,,ND,ND,,,,,,
16,4,18,Sambadani,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,0,,,,,,ND,ND,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,,28,27,,,,,,,30,7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,20,Kignele,periphery,Con.,NO,CDC,0,0,0,4,0,0,0,1,4,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,9,0,,4,4,,,ND,ND,ND,,9,3,,,,,ND,ND,,supplementary catch,,,,
16,4,20,Trekrouba,periphery,Con.,NO,CDC,0,2,0,0,1,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,4,0,,4,4,,,ND,ND,ND,,4,2,,,,,ND,ND,,supplementary catch,,,,
16,4,21,Krekrelo,periphery,Con.,NO,CDC,0,0,0,0,2,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,2,0,,2,2,,,ND,ND,ND,,2,0,,,,,ND,ND,,supplementary catch,,,,
16,4,21,Trekrou,periphery,Con.,NO,CDC,0,1,0,1,1,0,0,2,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,5,0,,4,4,,,ND,ND,ND,,5,2,,,,,ND,ND,,supplementary catch,,,,
