cluster,no_rdt_tested,rdt_prevalence,llin_posession,llin_1_2,net_use,irs,non-response,n_hh,n_struct,struct_per_hec_unweight,struct_per_hec_weight,baseline_ento,mean_elev,hf_in_cluster,dist_to_hf
C67,24,41.67,85,35,44.63,60,0,185,470,3.821138211,6.395397018,1,1152,1,1396.643342
C68,20,25,68.42,47.37,52.31,57.89,0.17,338,749,3.082304527,5.206337673,0,1183,1,1444.724094
C69,19,57.89,47.37,36.84,37.21,73.68,0.21,233,366,3.238938053,4.723520411,1,1178,0,6317.538093
C70,16,50,64.71,41.18,47.54,35.29,0.33,247,640,3.67816092,6.224006295,0,1166,0,3413.205285
C71,15,66.67,93.33,80,92.73,46.67,0.38,283,608,3.494252874,5.81266632,1,1150,0,8156.785678
C73,19,42.11,94.74,73.68,83.33,42.11,0.21,345,941,3.421818182,5.639306954,0,1181,0,6474.03793
C74,20,25,100,85,100,40,0.17,450,790,2.862318841,4.7028712,1,1158,0,4609.908947
C75,20,45,95,60,93.42,5.26,0.17,256,605,2.922705314,4.508487228,0,1167,0,7431.897058
C77,17,41.18,88.24,64.71,78.13,17.65,0.29,239,540,3.354037267,5.03637523,0,1169,1,639.9937301
C78,17,47.06,94.12,76.47,88.33,52.94,0.29,363,642,2.663900415,4.265211422,1,1176,0,3583.555771
C79,16,43.75,93.75,75,80,6.25,0.33,398,683,2.596958175,5.085597206,1,1181,0,10385.83888
C80,16,62.5,87.5,62.5,70.59,33.33,0.33,446,812,3.741935484,5.636810963,1,1186,0,3826.641398
C83,18,61.11,100,47.37,77.91,10.53,0.25,254,371,2.921259843,4.505737659,0,1157,0,7509.561132
C84,19,42.11,42.11,21.05,22.22,50,0.21,436,572,4.576,7.491858335,0,1118,1,1517.532506
C85,21,71.43,80.95,38.1,68.04,0,0.13,253,428,2.911564626,4.369732594,0,1134,0,4665.752027
